IMU_Map_Downsample,ave_match,ave_solve,ave_ICP,map_incre,ave_total,icp,construct_H
0.001554,0.00448,0.000601,0.003278,0.001043,0.007558,0.005103,0.000107
0.001538,0.004467,0.000598,0.003306,0.001613,0.007549,0.005087,0.000107
0.001544,0.004455,0.000595,0.003397,0.001084,0.007536,0.005072,0.000106
0.001584,0.00445,0.000593,0.00429,0.001206,0.007532,0.005065,0.000106
0.001743,0.004448,0.000591,0.004573,0.000916,0.00753,0.00506,0.000105
0.002174,0.004443,0.00059,0.004428,0.00088,0.007529,0.005055,0.000105
0.001644,0.004441,0.000589,0.00478,0.001273,0.007531,0.005052,0.000105
0.001547,0.004458,0.000588,0.007158,0.000833,0.007547,0.005068,0.000105
0.001482,0.004465,0.000588,0.00599,0.001076,0.007555,0.005075,0.000104
0.001497,0.004472,0.000588,0.005983,0.000872,0.007562,0.005082,0.000104
0.001348,0.004473,0.000588,0.005201,0.000767,0.00756,0.005082,0.000104
0.001238,0.004468,0.000587,0.004422,0.000525,0.007549,0.005076,0.000104
0.001111,0.004462,0.000586,0.00419,0.000492,0.007535,0.005069,0.000104
0.001029,0.004453,0.000585,0.003825,0.000465,0.007518,0.005059,0.000104
0.000945,0.004446,0.000583,0.004069,0.000485,0.007502,0.005051,0.000103
0.000998,0.004438,0.000582,0.003945,0.000686,0.007488,0.005042,0.000103
0.001041,0.004432,0.000581,0.004067,0.000407,0.007473,0.005034,0.000103
0.001151,0.004425,0.000579,0.004028,0.000559,0.00746,0.005026,0.000103
0.001151,0.004419,0.000578,0.003993,0.000625,0.007447,0.005018,0.000102
0.00116,0.00442,0.000577,0.005099,0.000821,0.007445,0.005018,0.000102
0.001301,0.004448,0.000578,0.009123,0.002041,0.007482,0.005047,0.000102
0.001287,0.004447,0.000577,0.004822,0.000797,0.007477,0.005045,0.000102
0.001523,0.004461,0.000577,0.007071,0.000971,0.007493,0.005059,0.000102
0.00151,0.004465,0.000577,0.00572,0.000987,0.007498,0.005064,0.000102
0.001454,0.004474,0.000577,0.006286,0.001046,0.007507,0.005072,0.000102
0.001453,0.004486,0.000577,0.006852,0.001363,0.007522,0.005084,0.000102
0.00151,0.004496,0.000577,0.006567,0.00096,0.007533,0.005094,0.000102
0.001516,0.004509,0.000578,0.007181,0.001111,0.007549,0.005108,0.000102
0.001529,0.004514,0.000578,0.005882,0.000856,0.007554,0.005113,0.000102
0.001588,0.00452,0.000578,0.006005,0.00088,0.00756,0.005119,0.000102
0.001679,0.004522,0.000578,0.005479,0.000853,0.007563,0.005121,0.000102
0.001726,0.00452,0.000578,0.004928,0.000523,0.007561,0.005119,0.000102
0.001732,0.00452,0.000578,0.005154,0.000556,0.00756,0.005119,0.000102
0.001719,0.004513,0.000577,0.004108,0.000401,0.007551,0.005112,0.000102
0.001605,0.004507,0.000576,0.003974,0.000369,0.00754,0.005104,0.000102
0.001559,0.004494,0.000575,0.003001,0.000343,0.007523,0.005089,0.000102
0.00155,0.004482,0.000573,0.003141,0.000287,0.007506,0.005076,0.000101
0.001476,0.00447,0.000571,0.003006,0.000258,0.007488,0.005062,0.000101
0.001393,0.004457,0.00057,0.002927,0.000262,0.007469,0.005048,0.000101
0.001389,0.004446,0.000569,0.003191,0.000229,0.007452,0.005035,0.0001
0.001485,0.004435,0.000567,0.003164,0.000238,0.007435,0.005023,0.0001
0.001447,0.004427,0.000566,0.003602,0.000209,0.007422,0.005014,0.0001
0.001455,0.004419,0.000565,0.00369,0.000258,0.007409,0.005005,0.0001
0.001561,0.004412,0.000564,0.003727,0.000298,0.007397,0.004996,0.0001
0.001702,0.004406,0.000564,0.004099,0.000398,0.00739,0.004991,0.0001
0.00178,0.004401,0.000564,0.004215,0.000416,0.007384,0.004985,9.9e-05
0.001776,0.004398,0.000563,0.004492,0.000435,0.00738,0.004982,9.9e-05
0.001704,0.004396,0.000563,0.004756,0.000455,0.007377,0.00498,0.0001
0.00172,0.004394,0.000563,0.004552,0.000428,0.007373,0.004977,9.9e-05
0.001641,0.004392,0.000563,0.004692,0.000531,0.00737,0.004975,9.9e-05
0.001696,0.004389,0.000562,0.004658,0.00047,0.007366,0.004972,9.9e-05
0.001654,0.004386,0.000562,0.004484,0.000448,0.007362,0.004969,9.9e-05
0.001491,0.004381,0.000561,0.003992,0.000357,0.007352,0.004963,9.9e-05
0.00147,0.00437,0.00056,0.002951,0.000208,0.007336,0.00495,9.9e-05
0.001445,0.004356,0.000558,0.002444,0.000201,0.007317,0.004935,9.9e-05
0.001449,0.004343,0.000557,0.002421,0.000254,0.007299,0.00492,9.8e-05
0.001438,0.004329,0.000555,0.00231,0.000206,0.007279,0.004904,9.8e-05
0.001428,0.004317,0.000554,0.002537,0.000203,0.007261,0.00489,9.8e-05
0.001585,0.004307,0.000553,0.003107,0.000292,0.007248,0.00488,9.8e-05
0.001613,0.004302,0.000552,0.003813,0.000305,0.007239,0.004873,9.7e-05
0.001675,0.0043,0.000551,0.004592,0.000344,0.007236,0.004871,9.7e-05
0.001838,0.0043,0.000551,0.004862,0.000459,0.007235,0.004871,9.7e-05
0.001723,0.004302,0.000551,0.005275,0.000634,0.007238,0.004873,9.7e-05
0.001724,0.004303,0.000551,0.005045,0.000429,0.007237,0.004874,9.7e-05
0.001895,0.004327,0.000553,0.009745,0.000727,0.007266,0.004899,9.7e-05
0.001729,0.004323,0.000552,0.004295,0.000398,0.007261,0.004896,9.7e-05
0.001859,0.004318,0.000552,0.003878,0.000534,0.007256,0.00489,9.7e-05
0.001781,0.004311,0.000551,0.003456,0.000473,0.007247,0.004882,9.7e-05
0.001902,0.004307,0.00055,0.004166,0.000422,0.007243,0.004877,9.7e-05
0.001783,0.0043,0.000549,0.003309,0.000503,0.007234,0.004869,9.6e-05
0.001761,0.004289,0.000548,0.002632,0.000454,0.007222,0.004856,9.6e-05
0.001737,0.004283,0.000547,0.003735,0.00078,0.007216,0.00485,9.6e-05
0.00175,0.004277,0.000546,0.00356,0.000874,0.007211,0.004843,9.6e-05
0.001773,0.004268,0.000545,0.00307,0.001001,0.007204,0.004833,9.6e-05
0.001902,0.004258,0.000544,0.002872,0.000876,0.007195,0.004822,9.5e-05
0.00174,0.00425,0.000543,0.003148,0.000918,0.007188,0.004813,9.5e-05
